OID,RouteId,BeginPoint,EndPoint,LANE_WIDTHVn,LANE_WIDTHVt,LANE_WIDTHVd,LANE_WIDTHComments,Shape_Length
-1,1000100007200INC,20.962399999999999,26.338999999999999,12.000000000000000,,,GA1050178-01,0.090560486270186
-1,1051200091707INC,1.277500000000000,2.052400000000000,10.000000000000000,,,GA0510496-01,0.011436114232158
-1,1000100033200INC,22.343000000000000,24.041599999999999,11.000000000000000,,,GA1390394-01,0.028262780744516
-1,1169200013900INC,10.479699999999999,11.456700000000000,10.000000000000000,,,GA1690240-01,0.016352203676235
-1,1021200170100INC,0.513900000000000,0.760400000000000,10.000000000000000,,,GA0210388-01,0.004027637908478
-1,1000100013800INC,27.928799999999999,27.946200000000001,12.000000000000000,,,GA1510263-01,0.000277869585045
-1,1000100040400INC,6.001500000000000,6.357700000000000,12.000000000000000,,,GA0210376-01,0.005428754959802
-1,1000100008900INC,37.565399999999997,38.037900000000000,14.000000000000000,,,GA0650138-01,0.007133892586266
-1,1000100000300INC,105.427300000000002,105.553600000000003,11.000000000000000,,,GA2610005-01,0.001833927337550
-1,1115200060709INC,0.000000000000000,0.672100000000000,10.000000000000000,,,GA1150557-01,0.009857664061837
-1,1000100002500INC,111.842699999999994,114.218900000000005,12.000000000000000,,,GA0510198-01,0.037045825035780
-1,1081200071405INC,0.000000000000000,1.621900000000000,11.000000000000000,,,GA0817145-01,0.024215937492284
-1,1127200041601INC,0.380800000000000,0.443400000000000,10.000000000000000,,,GA1270603-01,0.001044388571323
-1,1000100017700INC,22.727300000000000,26.911500000000000,12.000000000000000,,,GA2990134-01,0.067822637985895
-1,1139200078007INC,0.970000000000000,1.052300000000000,10.000000000000000,,,GA1390678-01,0.001204890446830
-1,1000100052000INC,36.019100000000002,40.899900000000002,12.000000000000000,,,GA2590163-01,0.073487353513546
-1,1215200119300INC,0.000000000000000,0.536300000000000,10.000000000000000,,,GA2150474-01,0.007785510285974
-1,1000100001700INC,136.702100000000002,138.206099999999992,12.000000000000000,,,GA1890052-01,0.022194938488842
-1,1071200001500INC,5.070800000000000,5.965200000000000,10.000000000000000,,,GA0710346-01,0.015083516852826
-1,1000100003500INC,7.274200000000000,7.632400000000000,12.000000000000000,,,GA2750001-01,0.005664425296686
-1,1057200008600INC,0.684700000000000,0.799300000000000,10.000000000000000,,,GA0578129-02,0.001739159926545
-1,1185200127313INC,1.025600000000000,1.041700000000000,10.000000000000000,,,GA1850097-02,0.000234372358875
-1,1045200035600INC,0.703700000000000,1.960500000000000,10.000000000000000,,,GA0450624-03,0.018314299340328
-1,1000100020100INC,14.002100000000000,14.288300000000000,12.000000000000000,,,GA3130143-01,0.005030168965009
-1,1000100001000INC,60.480499999999999,61.310299999999998,12.000000000000000,,,GA0590005-01,0.014440736453548
-1,1121200131609INC,1.164500000000000,1.300900000000000,10.000000000000000,,,GA1210789-01,0.002287622299837
-1,1000100002900INC,92.416300000000007,93.844300000000004,12.000000000000000,,,GA0090418-02,0.021286825272682
-1,1000100000100INC,238.056399999999996,238.080000000000013,14.000000000000000,,,GA0450016-02,0.000342821213507
-1,1095200079901INC,0.189700000000000,0.431200000000000,10.000000000000000,,,GA0950367-01,0.004095243321827
-1,1105200030300INC,0.000000000000000,1.526800000000000,10.000000000000000,,,GA1050256-01,0.024944786912212
-1,1000100002100INC,21.004999999999999,21.065100000000001,14.000000000000000,,,GA1030131-02,0.000909269386609
-1,1073100038800INC,2.747200000000000,2.890300000000000,12.000000000000000,,,GA0730263-01,0.002099702790644
-1,1059200110900INC,0.000000000000000,0.151300000000000,10.000000000000000,,,GA0590503-01,0.002339493709112
