OID,RouteId,BeginPoint,EndPoint,MEDIAN_WIDTHVn,MEDIAN_WIDTHVt,MEDIAN_WIDTHVd,MEDIAN_WIDTHComments,Shape_Length
-1,1000100000100INC,289.336000000000013,289.399000000000001,25.000000000000000,,,GA1150021-01,0.001092744859209
-1,1000100042200INC,12.293699999999999,12.350400000000000,40.000000000000000,,,GA0590018-01,0.000959585257643
-1,1000100000600INC,71.924800000000005,71.933800000000005,15.000000000000000,,,GA1215193-02,0.000152150730521
-1,1000100041300INC,0.630300000000000,0.648700000000000,99.000000000000000,,,GA1510446-01,0.000267380538082
-1,1000100040500INC,6.049100000000000,6.155800000000000,27.000000000000000,,,GA0390222-01,0.001556862401113
-1,1000100031600INC,11.741400000000001,12.243000000000000,40.000000000000000,,,GA1350253-01,0.008706836364069
-1,1000100002500INC,103.830799999999996,104.042699999999996,30.000000000000000,,,GA0290105-02,0.003336127438350
-1,1000100040000INC,22.582799999999999,22.863000000000000,4.000000000000000,,,GA1170080-01,0.004545366296262
-1,1000100002600INC,127.262100000000004,127.274600000000007,5.000000000000000,,,GA1750061-01,0.000208767869201
-1,1051100042100INC,5.827900000000000,5.837800000000000,32.000000000000000,,,GA0510129-01,0.000159761751258
-1,1000100009200INC,86.037000000000006,86.073599999999999,40.000000000000000,,,GA0570076-01,0.000627504585279
-1,1000100012400INC,15.920199999999999,15.980200000000000,4.000000000000000,,,GA1350189-01,0.000883058097671
-1,1000100000300INC,201.384899999999988,201.414800000000014,10.000000000000000,,,GA2550035-01,0.000434231788302
-1,1000100040700INC,40.209600000000002,40.861199999999997,4.000000000000000,,,GA0893354-01,0.009936273049689
-1,1000100007200INC,8.461900000000000,9.312500000000000,22.000000000000000,,,GA1950125-01,0.013860122819227
-1,1000100040400INC,89.231700000000004,89.261700000000005,60.000000000000000,,,GA1070212-01,0.000487696018412
-1,1000100019600INC,37.227899999999998,37.378799999999998,30.000000000000000,,,GA1790129-01,0.002524038602705
-1,1000100002500INC,41.736100000000000,41.893500000000003,4.000000000000000,,,GA1270109-02,0.002330180647875
-1,1000100003800INC,235.007499999999993,235.013900000000007,30.000000000000000,,,GA1830118-01,0.000104503744367
-1,1000100040300INC,21.995699999999999,22.724799999999998,80.000000000000000,,,GA2850238-01,0.011338526843217
-1,1000100040100INC,168.994100000000003,169.034899999999993,14.000000000000000,,,GA0210356-01,0.000633649056736
-1,1000100002000INC,97.827699999999993,97.918599999999998,40.000000000000000,,,GA1350114-01,0.001496881918229
-1,1051200205407INC,6.723700000000000,6.741200000000000,99.000000000000000,,,GA051R151-01,0.000255878963836
-1,1000100002800INC,11.484900000000000,11.714200000000000,4.000000000000000,,,GA0730112-01,0.003772967424955
-1,1000100014100INC,0.763600000000000,0.884000000000000,10.000000000000000,,,GA1215352-01,0.001801599184863
-1,1000100001000INC,18.694400000000002,19.988499999999998,4.000000000000000,,,GA1350045-01,0.021702161707748
-1,1000100009600INC,59.749899999999997,59.767899999999997,20.000000000000000,,,GA1530109-01,0.000307326426444
-1,1000100000300INC,46.988399999999999,47.040900000000001,40.000000000000000,,,GA2050263-01,0.000770318426905
-1,1000100052000INC,33.152700000000003,33.213200000000001,40.000000000000000,,,GA2590171-01,0.000887054035426
-1,1000100000100INC,47.737000000000002,47.816699999999997,25.000000000000000,,,GA0990001-01,0.001202118937205
-1,1000100001500INC,270.046299999999974,270.119700000000023,40.000000000000000,,,GA1570147-01,0.001087600389366
-1,1000100041900INC,30.594999999999999,30.605799999999999,60.000000000000000,,,GA1390214-01,0.000170186879845
-1,1000100005300INC,128.021999999999991,128.067200000000014,17.000000000000000,,,GA1390285-02,0.000698517717137
